id,name,introduction,country
4305,클래식 블렌드 1996,자칫 산미의 표현이 부담스러울 수 있는 약볶음 원두의 특징을 고려하여 서로 간의 조화를 생각한 이 블렌딩은 에스프레소뿐만 아니라 드립용으로 사용하셔도 맛있는 한 잔을 만들어냅니다.,"['에티오피아', '브라질', '콜롬비아', '과테말라']"
3503,D1,"낮은 산미와 묵직한 바디감, 좋은 밸런스를 갖춘 블렌드입니다.
매일 마셔도 부담없는 편안한 커피입니다.","['브라질', '과테말라', '콜롬비아', '케냐']"
1474,다크초콜릿 블렌드,다크로스팅 특유의 진한 느낌과 쌉싸름함이 느껴지지만 쓰지않고 깨끗한 단맛이 특징입니다.,"['브라질', '콜롬비아', '인도']"
3198,다크그린 블렌딩 커피,"- 풍부한 밸런스에 진한 농도를 더한 커피
- 산미는 줄이고 구수한 후미를 강조한 커피","['브라질', '콜롬비아', '과테말라', '에티오피아']"
3028,브라운렄블렌드,"초콜릿의 향미와 캐러멜 같은 질감의 밸런스가 좋은 커피입니다.
누구나 부담 없이 드실 수 있는 칠복상회로스터스 대표 블렌드 입니다.","['콜롬비아', '브라질', '인도']"
3089,모노그램(Mono Gram),총 4 국가의 생두를 블랜딩하여 하나로 어우러지는 맛을 표현했습니다. 견과류의 고소함이 특징인 브라질 커피를 베이스로 밀크초콜릿을 연상하게 하는 부드러운 맛이 매력적입니다. 데일리 커피로 추천합니다.,"['과테말라', '에티오피아', '브라질', ' 케']"
3,콜린,"잘 익은 체리의 농후한 단맛과 고소한 아몬드 캐러멜이 입안 가득 남는 끝 맛을 느낄 수 있어요.

블렌딩에 최적화된 좋은 생두를 선별하고, 일관성 있고 논리적인 로스팅을 추구합니다. 결점두를 직접 선별하여 패키징 하는 등 최상의 품질을 위해 노력합니다.","['인도', '콜롬비아', '코스타리카']"
3456,Enak 블렌딩,"달달 고소한 죠리퐁 향과 첫입에 느껴지는 감칠맛 도는 약한 산미,
묵직한 바디감과 쌉쌀한 다크초콜렛의 여운","['브라질', '과테말라', '콜롬비아']"
3840,케냐 뚱구리 AA 워시드,"뚱구리 농장에서 수확한 커피체리는 당일에 깨끗한 물로 습식과정을 통해 1차 가공되고 발효작업 세척 후 태양열 건조가 진행됩니다.
이후 드라이밀에서 2차 프로세싱을 거치게 되며, 이를 통해 케냐가 가진 클린한 맛이 보다 배가 됩니다.",['키린야가']
1013,룰라바이,"감귤의 시트러스한 단맛을 바탕으로 시나몬과 고구마, 후미에는 꿀의 깊은 맛이 입 안에 남습니다.","['멕시코', '콜롬비아']"
1101,44도 블렌드,먹었을 때 느껴지는 초콜릿티한 맛과 어우러지는 호두같은 고소함이 매력적입니다. 또한 커피를 먹고 남는 여운은 스모키한 향과 맛이 기억에 남아 맛있게 먹을수 있는 커피입니다.,"['브라질', '콜롬비아', '과테말라', '에티오피아']"
3447,하이로 디카프리오,"건포도 · 건자두의 새콤함, 뒤이은 아몬드와 밤꿀의 단맛과 초콜릿의 질감이 좋은 마이크로랏 디카페인 커피입니다.",['아르메니아']
3196,디카페인 싱글 오리진 커피,"- 묵직하고 고소한 과테말라 100%
- 카페인이 제거된 디카페인 커피입니다.",['s']
4604,인도네시아 만델링 G1,"인도네시아 만델링은 ""다크"" 로스팅으로
브라운슈가 / 카라멜 / 다크초콜렛 / 너트
등의 맛 구현하였습니다.
만델링은 다크초콜렛 커피맛으로 브루잉(핸드드립)에도 잘 어울립니다.",['아체']
4446,MAUNA LOA(마우나 로아),"마우나 로아는 깊은 단맛과 풍부한 바디감을 극대화한 블렌드입니다.

강렬한 견과류와 초콜릿, 캐러멜, 플로럴 노트로
핫/아이스 아메리카노에서는 물론 라떼와 같은 우유 베이스 음료에서도
크림을 위한 멋진 캔버스가 되어줍니다.","['에티오피아', '브라질']"
1063,하드워커,"열심히 하루를 살아가는 우리에게
달콤 쌉싸름한 커피 한잔은 큰 힘이 되죠
바쁜 일상 속 그 사이의 작은휴식
하루를 버틸 수 있는 원동력을 주는 한 잔이 될꺼에요!","['브라질', '과테말라', '콜롬비아']"
168,블렌드 A,"짙은 단맛과, 쌉싸름한 초콜릿 같은 느낌의 원두 입니다.
단맛과 고소함이 주를 이루며, 대중적인 원두 입니다.","['브라질', '에티오피아', '인도']"
3802,에티오피아 예가체프 첼바 쿠멜라초 G1,청포도와 딸기의 향이 균형감있고 달콤하고 실키한 바디감을 갖고 있습니다. 잘 익은 과일의 맛과 향미를 느낄 수 있습니다.,['오로미아']
1024,브라이트,"복숭아, 살구와 같은 핵과의 향미와 단맛이 잘 표현되며, 부담스럽지 않은 산미가 조화로운 스페셜티 블렌드입니다.
* 이일용 로스터의 한마디 *
커넥츠커피라는 브랜드를 만들고 첫 해에 호주 로스팅 대회에 출품하여 브론즈 메달을 안겨준 블렌딩입니다. 산미 있고 쥬시하지만 너무 신게 싫다면 저희 브라이트 블렌드 한번 드셔보세요. 브라이트 블렌드는 커넥츠커피의 자랑입니다.","['에티오피아', '코스타리카']"
1049,콜롬비아 싱글오리진 디카페인,"카라멜, 사과, 오렌지의 달콤함과 허브류의 여운이 좋은 디카페인 입니다.",['후일라']
23,2nd WAVE : Customizing,뉴웨이브의 대표 블렌드로써 감귤 초콜릿을 먹는 듯 균형잡힌 산미와 단맛으로 거부감 없이 입맛을 즐겁게 합니다.,"['브라질', '에티오피아', '인도']"
3722,일상 블렌드 L (라떼),"일상속에서 부담없이 즐길 수 있는 편안한 커피입니다.
초콜렛티하고 기분 좋은 비터 스윗을 목표로 로스팅 되어집니다. 묵직하고 초콜렛티한 커피와 우유가 잘 어우러져 진하고 달달한 라떼를 즐길 수 있습니다. 아메리카노에서도 초콜렛티한 뉘앙스가 잘 표현되어 여러 디저트들과 잘 어울리는 블렌드입니다.","['브라질', '인도']"
3737,콜롬비아 비야라조 민트,"향기로운 민트와 꽃향기, 레몬그라스의 산미, 홍차같은 바디감의 커피입니다.",['아메니아']
